energy,liveness,speechiness,danceability,valence,uri
0.399,0.0923,0.038,0.899,0.544,spotify:track:12jjuxN1gxlm29cqL5M6MW
0.0549,0.0718,0.0397,0.581,0.234,spotify:track:3B7udSGy2PfgoCniMSb523
0.303,0.115,0.0398,0.585,0.142,spotify:track:05pKAafT85jeeNhZ6kq7HT
0.834,0.0993,0.0447,0.527,0.422,spotify:track:1hIupFeRu3nmMcjbjxPnMc
0.721,0.105,0.0461,0.488,0.273,spotify:track:6G9JORy1gvXtzi8bKugZzZ
0.783,0.14,0.0406,0.518,0.152,spotify:track:0AhRPDuVwHkLAACbPXidb3
0.864,0.209,0.0584,0.556,0.4,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
0.318,0.115,0.0293,0.562,0.406,spotify:track:3eL4FxLUkRgUBbr3IpzaKV
0.623,0.251,0.0503,0.951,0.957,spotify:track:0ejoA3sOgQpHHvsTb3GDW3
0.624,0.252,0.38,0.829,0.7,spotify:track:6Lcq8nlk2InTcLHwGj7vQN
0.833,0.0327,0.304,0.466,0.661,spotify:track:59WN2psjkt1tyaxjspN8fp
0.817,0.13,0.0852,0.293,0.145,spotify:track:4sjLcE0GQ6urc4iUXsUPe9
0.727,0.0895,0.167,0.503,0.521,spotify:track:1BltsyC5W3SAABdxyrDXwi
0.898,0.188,0.46,0.679,0.593,spotify:track:1rn2Y0mzmFfxcOzEL6Y099
0.799,0.123,0.0347,0.68,0.744,spotify:track:2QwG0flKv1wq9fyvfsMD9C
0.725,0.0837,0.137,0.703,0.403,spotify:track:1BEtBDtTYhKVU6Z0Y4BkCF
0.685,0.0657,0.0367,0.687,0.359,spotify:track:2DrEeo4eMULdAVe1U7P9PB
0.91,0.578,0.0639,0.541,0.493,spotify:track:0sohcbFmi4BhkQTOBf7vOv
0.728,0.361,0.255,0.701,0.0591,spotify:track:1JOgNMKbemRhrD9pjL7fKz
0.659,0.0753,0.057,0.832,0.674,spotify:track:5CMjjywI0eZMixPeqNd75R
0.892,0.103,0.0442,0.499,0.216,spotify:track:2fzpVfNwnFMJxhApDDrl5g
0.935,0.0973,0.0589,0.719,0.738,spotify:track:5BJSZocnCeSNeYMj3iVqM7
0.514,0.0837,0.0418,0.847,0.587,spotify:track:2xOqNojFkIYrLy37witd51
0.417,0.106,0.0718,0.502,0.218,spotify:track:0c4IEciLCDdXEhhKxj4ThA
0.881,0.0709,0.082,0.556,0.337,spotify:track:6AbVJjzv7thIvmMCuhZrmK
0.723,0.0675,0.0295,0.737,0.893,spotify:track:0tJGzJjUVlEsn8s3Mn32Jb
0.599,0.197,0.0365,0.634,0.312,spotify:track:7iqTu4OPL3KYs4FMdtLZsy
0.475,0.0944,0.0355,0.548,0.0349,spotify:track:0UrvIS9YOQL814w4LCtNGB
0.672,0.13,0.276,0.621,0.228,spotify:track:7cAHj6pGJUMGMJLBTs1JFe
0.899,0.0957,0.244,0.532,0.436,spotify:track:7cNz65PfCatRXoX7QtqM2A
0.808,0.0983,0.0362,0.493,0.38,spotify:track:7EbpUdQ4nQ5VnnFlZjvqYl
0.858,0.349,0.311,0.789,0.775,spotify:track:4Li2WHPkuyCdtmokzW2007
0.717,0.418,0.165,0.337,0.444,spotify:track:1A2UmLDZzDmpdzUjEkCc3z
0.951,0.166,0.245,0.855,0.715,spotify:track:1UHBcngfWo8hi3m003wZtX
0.827,0.0885,0.0416,0.673,0.346,spotify:track:4yFEz5j53bnYoavrMqJY6i
0.739,0.064,0.026,0.689,0.578,spotify:track:0q6LuUqGLUiCPP1cbdwFs3
0.923,0.0951,0.173,0.507,0.768,spotify:track:4eLSCSELtKxZwXnFbNLXT5
0.821,0.0844,0.0314,0.716,0.618,spotify:track:6cpk00i5TxCqSeqNi2HuIe
0.969,0.0787,0.0491,0.492,0.538,spotify:track:3K4HG9evC7dg3N0R9cYqk4
0.795,0.0756,0.0574,0.458,0.513,spotify:track:3CeYdUfGPCjKMDYyI1PpCh
0.939,0.623,0.113,0.524,0.661,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1
0.585,0.0833,0.0268,0.449,0.212,spotify:track:6nek1Nin9q48AVZcWs9e9D
0.744,0.331,0.042,0.738,0.556,spotify:track:5IWmU2PNimgYuTLddU2DRo
0.715,0.271,0.0407,0.679,0.571,spotify:track:3gbBpTdY8lnQwqxNCcf795
0.69,0.287,0.0347,0.42,0.237,spotify:track:4HXOBjwv2RnLpGG4xWOO6N
0.763,0.224,0.0302,0.509,0.635,spotify:track:7Jzsc04YpkRwB1zeyM39wE
0.911,0.0582,0.22,0.677,0.85,spotify:track:2cq69jrDBC5gqKh6HvzwUG
0.807,0.309,0.0364,0.743,0.899,spotify:track:3tCwjWLicbjsMCvXhN0WOE
0.436,0.0964,0.0558,0.826,0.272,spotify:track:7ueP5u2qkdZbIPN2YA6LR0
0.147,0.0913,0.0355,0.407,0.0765,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N
0.629,0.0742,0.0442,0.841,0.87,spotify:track:0aj2QKJvz6CePykmlTApiD
0.642,0.158,0.109,0.964,0.547,spotify:track:4k03W1DLFhHoRWcLIvYns9
0.772,0.115,0.0549,0.347,0.035,spotify:track:7qfwcqfGOkQYtzjF4UzJHM
0.547,0.104,0.0264,0.766,0.556,spotify:track:1dnXuEuApvuVqQCn0v9McL
0.574,0.189,0.31,0.452,0.58,spotify:track:4SRqDmPxYX0pUb5B5ut2Ri
0.521,0.0989,0.0371,0.865,0.748,spotify:track:1qDrWA6lyx8cLECdZE7TV7
0.207,0.187,0.0296,0.439,0.263,spotify:track:4dp8cI4USaMlFzJ5MeBsVs
0.828,0.161,0.0383,0.214,0.388,spotify:track:2gANywSFYF58YFMPdDSAjC
0.874,0.206,0.0321,0.55,0.318,spotify:track:3skn2lauGk7Dx6bVIt5DVj
