energy,liveness,speechiness,danceability,valence,uri,genre
0.377,0.155,0.0388,0.385,0.398,spotify:track:74ZqYPeN9a3qMfUOM6j7yy,otacore
0.902,0.24,0.0686,0.416,0.202,spotify:track:6Hka38WXCB8wOd7rvRfIi2,
0.836,0.1,0.0612,0.56,0.572,spotify:track:55AyhfX2mt2HJSlZPdhjyM,anthem worship
0.941,0.802,0.0918,0.402,0.176,spotify:track:0ygzuhPmh28JzBZYQm8TkJ,alternative metal future rock
0.825,0.145,0.04,0.429,0.269,spotify:track:1uZswvpSomn1xZmtuBZRF3,pixie
0.539,0.105,0.0322,0.573,0.39,spotify:track:5sah9eLuxZlWxKTTCOk8GN,modern rock rebel blues
0.78,0.35,0.0418,0.54,0.514,spotify:track:5ezjiqla1EIIXUOWrs2aGu,modern alternative rock rebel blues
0.419,0.112,0.0489,0.521,0.07,spotify:track:6NNECt6PMWP4zfIJhPUnU3,epicore modern alternative rock
0.551,0.0914,0.0335,0.383,0.108,spotify:track:6GRSgTmK2i61nsLOviQ8MJ,modern alternative pop
0.745,0.118,0.0425,0.389,0.432,spotify:track:1UEnBGwENBsi21ZzrGfiNI,otacore viral pop
0.877,0.0898,0.0582,0.314,0.516,spotify:track:2L6fYOGi2YAwTI0pmGorc7,gymcore heavy alternative post-screamo
0.67,0.0595,0.0328,0.445,0.378,spotify:track:6hKpIzJWHQduwojjkWG8zt,modern rock rebel blues
0.924,0.314,0.0741,0.593,0.784,spotify:track:3MzFFjvLB0PqDuTwJpgVc3,gymcore modern alternative rock post-screamo
0.959,0.0511,0.138,0.496,0.512,spotify:track:1xdULwrU1cJT1SR62vteBS,christian alternative rock christian rock gothic alternative pixie pop emo slayer
0.577,0.334,0.0322,0.357,0.147,spotify:track:3TnGabS1ylWPNOTa2kJBDn,la pop
0.501,0.0601,0.0354,0.534,0.352,spotify:track:1upmFlpOWcIa1e3nGkdhhx,anthem worship
